seed,model,mean_outer_AUROC
0,PAC only,0.802823691460055
0,L2 logistic,0.948071625344353
1,PAC only,0.805096418732782
1,L2 logistic,0.944903581267218
2,PAC only,0.806887052341598
2,L2 logistic,0.93595041322314
3,PAC only,0.824242424242424
3,L2 logistic,0.959641873278237
4,PAC only,0.828787878787879
4,L2 logistic,0.944765840220386
5,PAC only,0.80137741046832
5,L2 logistic,0.936225895316804
6,PAC only,0.805371900826446
6,L2 logistic,0.943526170798898
7,PAC only,0.812121212121212
7,L2 logistic,0.944214876033058
8,PAC only,0.819146005509642
8,L2 logistic,0.947520661157025
9,PAC only,0.811019283746557
9,L2 logistic,0.928650137741047
10,PAC only,0.805716253443526
10,L2 logistic,0.948347107438017
11,PAC only,0.80633608815427
11,L2 logistic,0.939118457300276
12,PAC only,0.80771349862259
12,L2 logistic,0.945179063360881
13,PAC only,0.811570247933884
13,L2 logistic,0.934022038567493
14,PAC only,0.805509641873278
14,L2 logistic,0.939944903581267
15,PAC only,0.808195592286501
15,L2 logistic,0.947520661157025
16,PAC only,0.807988980716254
16,L2 logistic,0.94366391184573
17,PAC only,0.804201101928375
17,L2 logistic,0.942561983471074
18,PAC only,0.797314049586777
18,L2 logistic,0.948347107438017
19,PAC only,0.804820936639118
19,L2 logistic,0.962809917355372
0,Linear SVM,0.945179063360882
1,Linear SVM,0.920936639118457
2,Linear SVM,0.942011019283747
3,Linear SVM,0.958126721763085
4,Linear SVM,0.94931129476584
5,Linear SVM,0.936363636363636
6,Linear SVM,0.929752066115702
7,Linear SVM,0.951790633608815
8,Linear SVM,0.952203856749311
9,Linear SVM,0.940771349862259
10,Linear SVM,0.949724517906336
11,Linear SVM,0.932782369146006
12,Linear SVM,0.935812672176308
13,Linear SVM,0.922176308539945
14,Linear SVM,0.939807162534435
15,Linear SVM,0.940495867768595
16,Linear SVM,0.937741046831956
17,Linear SVM,0.947382920110193
18,Linear SVM,0.920936639118457
19,Linear SVM,0.94931129476584
0,RBF SVM,0.942011019283747
1,RBF SVM,0.932644628099174
2,RBF SVM,0.932782369146006
3,RBF SVM,0.959504132231405
4,RBF SVM,0.944765840220386
5,RBF SVM,0.931818181818182
6,RBF SVM,0.934297520661157
7,RBF SVM,0.945867768595041
8,RBF SVM,0.948898071625344
9,RBF SVM,0.944214876033058
10,RBF SVM,0.931818181818182
11,RBF SVM,0.946831955922865
12,RBF SVM,0.945179063360881
13,RBF SVM,0.909917355371901
14,RBF SVM,0.939807162534435
15,RBF SVM,0.937465564738292
16,RBF SVM,0.926997245179063
17,RBF SVM,0.930716253443526
18,RBF SVM,0.949862258953168
19,RBF SVM,0.962947658402204
