feature,upa_convex_combination_full_precision,bpa_convex_combination_full_precision,absolute_difference_full_precision,upa_display_2dp,bpa_display_2dp
PAC,0.0949403604732435,0.0949403604732432,2.77555756156289e-16,0.09,0.09
PRA,0.511605360938994,0.511605360938994,0,0.51,0.51
Potassium,-0.0852055484108161,-0.0852055484108166,5.13478148889135e-16,-0.09,-0.09
Tumor size,0.795543242273526,0.795543242273527,3.33066907387547e-16,0.80,0.80
18-OHF,-0.297488771003922,-0.297488771003922,2.22044604925031e-16,-0.30,-0.30
18-oxoF,0.22751371682785,0.227513716827849,2.22044604925031e-16,0.23,0.23
Systolic BP,0.313451676582041,0.313451676582042,6.66133814775094e-16,0.31,0.31
Diastolic BP,0.275389229400226,0.275389229400226,1.11022302462516e-16,0.28,0.28
DDD,-0.212362552940174,-0.212362552940174,1.94289029309402e-16,-0.21,-0.21
Age,0.374502470722517,0.374502470722517,2.77555756156289e-16,0.37,0.37
