feature,transform,mean_mu_j,population_sd_sigma_j,median_imputation_reference
PAC,LN(value + 1E-6),3.1159485312252064,0.5420547235225721,3.0470670200800907
PRA,LN(value + 1E-6),-0.44864732987295686,0.6880431144301761,-0.3682347011046917
Potassium,unchanged,3.535,0.32579901780085224,3.455
Tumor size,unchanged,13.73,5.287352834831434,12.55
18-OHF,LN(value + 1E-6),7.128964361565063,0.6437919607125148,7.224103426546606
18-oxoF,LN(value + 1E-6),4.446397528806586,0.6099239421442056,4.425258823505919
Systolic BP,unchanged,139.9,17.64341236836004,141.0
Diastolic BP,unchanged,90.9,13.449535307957667,90.0
DDD,unchanged,2.5,0.5,2.5
Age,unchanged,49.5,11.629703349613008,53.0
