theta_component,feature_or_role,optimized_value,objective_contribution_0.5_wj_squared,first_derivative,hessian_diagonal
w1,PAC,0.33574905912380604,0.0563637153512605,0.33574905912380604,1.0
w2,PRA,-0.41930140605171284,0.08790683455847169,-0.41930140605171284,1.0
w3,Potassium,-0.650844620479034,0.21179936000324892,-0.650844620479034,1.0
w4,Tumor size,0.08323133613859927,0.003463727657708251,0.08323133613859927,1.0
w5,18-OHF,-0.09888541078785501,0.004889162233341416,-0.09888541078785501,1.0
w6,18-oxoF,0.1556908624718692,0.012119822328617243,0.1556908624718692,1.0
w7,Systolic BP,-0.13231552216566778,0.008753698702986661,-0.13231552216566778,1.0
w8,Diastolic BP,0.3929380864093681,0.07720016987552802,0.3929380864093681,1.0
w9,DDD,-0.7457325728130142,0.2780585350771588,-0.7457325728130142,1.0
w10,Age,0.6351324328498228,0.20169660362886732,0.6351324328498228,1.0
b,Intercept,0.2870509689582202,0.0,0.0,0.0
