evaluation_seed,method,eta_scale,beta,final_averaged_gap,steps_to_5pct,steps_to_1pct,averaged_iterate_AUROC
3000,SSG,2.0,0.0,0.00014452974593215373,68,169,0.9587438423645319
3000,Heavy Ball,0.25,0.9,0.00014751610846674978,118,263,0.9587438423645319
3000,Nesterov-style,2.0,0.3,0.00015676695329902568,64,260,0.958435960591133
3001,SSG,2.0,0.0,0.00039363516986656855,52,298,0.9605911330049262
3001,Heavy Ball,0.25,0.9,0.00042373457256250635,62,278,0.9605911330049262
3001,Nesterov-style,2.0,0.3,0.0004379246864376629,58,255,0.9605911330049262
3002,SSG,2.0,0.0,0.0001457030901669265,47,222,0.958128078817734
3002,Heavy Ball,0.25,0.9,0.00014205834013603091,63,246,0.958128078817734
3002,Nesterov-style,2.0,0.3,0.00014406183193038657,51,224,0.958128078817734
3003,SSG,2.0,0.0,0.00024650373980139584,44,115,0.9596674876847291
3003,Heavy Ball,0.25,0.9,0.00023809508414229796,29,651,0.9596674876847291
3003,Nesterov-style,2.0,0.3,0.00024247913589703352,19,688,0.9596674876847291
3004,SSG,2.0,0.0,0.00010857892710869343,48,391,0.9578201970443351
3004,Heavy Ball,0.25,0.9,0.00010812014328132058,76,539,0.9578201970443351
3004,Nesterov-style,2.0,0.3,0.00011389046373511125,48,413,0.9581280788177341
3005,SSG,2.0,0.0,0.00018224026851831887,38,184,0.958435960591133
3005,Heavy Ball,0.25,0.9,0.00019642566385535964,155,499,0.9581280788177341
3005,Nesterov-style,2.0,0.3,0.00020443051845386861,43,186,0.958743842364532
3006,SSG,2.0,0.0,0.00014217893039436547,31,346,0.9593596059113301
3006,Heavy Ball,0.25,0.9,0.0001499995250180408,26,352,0.9593596059113301
3006,Nesterov-style,2.0,0.3,0.00015185968208775158,19,346,0.9593596059113301
3007,SSG,2.0,0.0,0.00012628078291077038,28,355,0.9596674876847291
3007,Heavy Ball,0.25,0.9,0.00014252416352933395,57,560,0.9599753694581281
3007,Nesterov-style,2.0,0.3,0.00014343096351154827,28,366,0.9599753694581281
3008,SSG,2.0,0.0,8.043744825081411e-05,38,635,0.958743842364532
3008,Heavy Ball,0.25,0.9,7.452267070862106e-05,37,551,0.958743842364532
3008,Nesterov-style,2.0,0.3,7.535032653838147e-05,31,651,0.958743842364532
3009,SSG,2.0,0.0,0.00018008378297262873,33,191,0.9590517241379309
3009,Heavy Ball,0.25,0.9,0.00017586247435907865,34,700,0.9590517241379309
3009,Nesterov-style,2.0,0.3,0.0001837941318889591,35,542,0.9590517241379309
