C,gamma,mean_train_AUROC,mean_validation_AUROC,sd_validation_AUROC_ddof0
0.0001,1e-05,0.958507648174623,0.952892561983471,0.0383370724021767
0.0001,3.16227766016838e-05,0.958797783571142,0.952892561983471,0.0383370724021767
0.0001,0.0001,0.959365159457666,0.949586776859504,0.0431008441102619
0.0001,0.000316227766016838,0.959461777815154,0.949586776859504,0.0431008441102619
0.0001,0.001,0.9593672151674,0.951101928374656,0.0444265591740485
0.0001,0.00316227766016838,0.959365159457666,0.951101928374656,0.0444265591740485
0.0001,0.01,0.960134088339454,0.949724517906336,0.0417584877209291
0.0001,0.0316227766016838,0.960623627580149,0.946831955922865,0.0416456587069017
0.0001,0.1,0.966119380670722,0.934573002754821,0.0424769805650394
0.0001,0.316227766016838,0.984349134265878,0.88870523415978,0.0405917980715847
0.0001,1,1,0.78236914600551,0.06047130021457
0.0001,3.16227766016838,1,0.715840220385675,0.073839479569046
0.0001,10,1,0.521074380165289,0.0704361977892334
0.000316227766016838,1e-05,0.958797783571142,0.952892561983471,0.0383370724021767
0.000316227766016838,3.16227766016838e-05,0.959365159457666,0.949586776859504,0.0431008441102619
0.000316227766016838,0.0001,0.959461777815154,0.949586776859504,0.0431008441102619
0.000316227766016838,0.000316227766016838,0.959461777815154,0.949586776859504,0.0431008441102619
0.000316227766016838,0.001,0.9593672151674,0.951101928374656,0.0444265591740485
0.000316227766016838,0.00316227766016838,0.959365159457666,0.951101928374656,0.0444265591740485
0.000316227766016838,0.01,0.960134088339454,0.949724517906336,0.0417584877209291
0.000316227766016838,0.0316227766016838,0.960623627580149,0.946831955922865,0.0416456587069017
0.000316227766016838,0.1,0.966119380670722,0.934573002754821,0.0424769805650394
0.000316227766016838,0.316227766016838,0.984349134265878,0.88870523415978,0.0405917980715847
0.000316227766016838,1,1,0.78236914600551,0.06047130021457
0.000316227766016838,3.16227766016838,1,0.715840220385675,0.073839479569046
0.000316227766016838,10,1,0.527272727272727,0.0473348465206464
0.001,1e-05,0.959365159457666,0.949586776859504,0.0431008441102619
0.001,3.16227766016838e-05,0.959461777815154,0.949586776859504,0.0431008441102619
0.001,0.0001,0.959461777815154,0.949586776859504,0.0431008441102619
0.001,0.000316227766016838,0.959461777815154,0.949586776859504,0.0431008441102619
0.001,0.001,0.9593672151674,0.951101928374656,0.0444265591740485
0.001,0.00316227766016838,0.959365159457666,0.951101928374656,0.0444265591740485
0.001,0.01,0.960134088339454,0.949724517906336,0.0417584877209291
0.001,0.0316227766016838,0.960623627580149,0.946831955922865,0.0416456587069017
0.001,0.1,0.966119380670722,0.934573002754821,0.0424769805650394
0.001,0.316227766016838,0.984349134265878,0.88870523415978,0.0405917980715847
0.001,1,1,0.78236914600551,0.06047130021457
0.001,3.16227766016838,1,0.715840220385675,0.073839479569046
0.001,10,1,0.543801652892562,0.0557495720472076
0.00316227766016838,1e-05,0.959461777815154,0.949586776859504,0.0431008441102619
0.00316227766016838,3.16227766016838e-05,0.959461777815154,0.949586776859504,0.0431008441102619
0.00316227766016838,0.0001,0.959461777815154,0.949586776859504,0.0431008441102619
0.00316227766016838,0.000316227766016838,0.959461777815154,0.949586776859504,0.0431008441102619
0.00316227766016838,0.001,0.9593672151674,0.951101928374656,0.0444265591740485
0.00316227766016838,0.00316227766016838,0.959365159457666,0.951101928374656,0.0444265591740485
0.00316227766016838,0.01,0.960134088339454,0.949724517906336,0.0417584877209291
0.00316227766016838,0.0316227766016838,0.960623627580149,0.946831955922865,0.0416456587069017
0.00316227766016838,0.1,0.966119380670722,0.934573002754821,0.0424769805650394
0.00316227766016838,0.316227766016838,0.984349134265878,0.88870523415978,0.0405917980715847
0.00316227766016838,1,1,0.78236914600551,0.06047130021457
0.00316227766016838,3.16227766016838,1,0.719559228650138,0.0766753820169079
0.00316227766016838,10,1,0.551584022038567,0.0248549129505964
0.01,1e-05,0.959461777815154,0.949586776859504,0.0431008441102619
0.01,3.16227766016838e-05,0.959461777815154,0.949586776859504,0.0431008441102619
0.01,0.0001,0.959461777815154,0.949586776859504,0.0431008441102619
0.01,0.000316227766016838,0.959461777815154,0.949586776859504,0.0431008441102619
0.01,0.001,0.9593672151674,0.951101928374656,0.0444265591740485
0.01,0.00316227766016838,0.959365159457666,0.951101928374656,0.0444265591740485
0.01,0.01,0.960134088339454,0.949724517906336,0.0417584877209291
0.01,0.0316227766016838,0.960623627580149,0.946831955922865,0.0416456587069017
0.01,0.1,0.966119380670722,0.934573002754821,0.0424769805650394
0.01,0.316227766016838,0.984349134265878,0.88870523415978,0.0405917980715847
0.01,1,1,0.78236914600551,0.06047130021457
0.01,3.16227766016838,1,0.720316804407714,0.0775845322015955
0.01,10,1,0.544972451790634,0.0147640155527339
0.0316227766016838,1e-05,0.959461777815154,0.949586776859504,0.0431008441102619
0.0316227766016838,3.16227766016838e-05,0.959461777815154,0.949586776859504,0.0431008441102619
0.0316227766016838,0.0001,0.959461777815154,0.949586776859504,0.0431008441102619
0.0316227766016838,0.000316227766016838,0.959461777815154,0.949586776859504,0.0431008441102619
0.0316227766016838,0.001,0.9593672151674,0.951101928374656,0.0444265591740485
0.0316227766016838,0.00316227766016838,0.959365159457666,0.951101928374656,0.0444265591740485
0.0316227766016838,0.01,0.960134088339454,0.949724517906336,0.0417584877209291
0.0316227766016838,0.0316227766016838,0.960623627580149,0.946831955922865,0.0416456587069017
0.0316227766016838,0.1,0.966119380670722,0.934573002754821,0.0424769805650394
0.0316227766016838,0.316227766016838,0.984349134265878,0.88870523415978,0.0405917980715847
0.0316227766016838,1,1,0.78236914600551,0.06047130021457
0.0316227766016838,3.16227766016838,1,0.720316804407714,0.0775845322015955
0.0316227766016838,10,1,0.55103305785124,0.0136780396615188
0.1,1e-05,0.959461777815154,0.949586776859504,0.0431008441102619
0.1,3.16227766016838e-05,0.959461777815154,0.949586776859504,0.0431008441102619
0.1,0.0001,0.959461777815154,0.949586776859504,0.0431008441102619
0.1,0.000316227766016838,0.959461777815154,0.949586776859504,0.0431008441102619
0.1,0.001,0.9593672151674,0.951101928374656,0.0444265591740485
0.1,0.00316227766016838,0.959365159457666,0.951101928374656,0.0444265591740485
0.1,0.01,0.960134088339454,0.949724517906336,0.0417584877209291
0.1,0.0316227766016838,0.960623627580149,0.946831955922865,0.0416456587069017
0.1,0.1,0.966119380670722,0.934573002754821,0.0424769805650394
0.1,0.316227766016838,0.984349134265878,0.88870523415978,0.0405917980715847
0.1,1,1,0.78236914600551,0.06047130021457
0.1,3.16227766016838,1,0.720316804407714,0.0775845322015955
0.1,10,1,0.548760330578512,0.0306435909376019
0.316227766016838,1e-05,0.959461777815154,0.949586776859504,0.0431008441102619
0.316227766016838,3.16227766016838e-05,0.959461777815154,0.949586776859504,0.0431008441102619
0.316227766016838,0.0001,0.959461777815154,0.949586776859504,0.0431008441102619
0.316227766016838,0.000316227766016838,0.959461777815154,0.949586776859504,0.0431008441102619
0.316227766016838,0.001,0.9593672151674,0.951101928374656,0.0444265591740485
0.316227766016838,0.00316227766016838,0.959365159457666,0.951101928374656,0.0444265591740485
0.316227766016838,0.01,0.960234818116409,0.948071625344353,0.0453701528948544
0.316227766016838,0.0316227766016838,0.963795774582083,0.938980716253443,0.0420270483804665
0.316227766016838,0.1,0.97131303787178,0.93168044077135,0.0378384458350637
0.316227766016838,0.316227766016838,0.984349134265878,0.88870523415978,0.0405917980715847
0.316227766016838,1,1,0.78236914600551,0.06047130021457
0.316227766016838,3.16227766016838,1,0.721074380165289,0.0785123966942149
0.316227766016838,10,1,0.560123966942149,0.0402675296366275
1,1e-05,0.959461777815154,0.949586776859504,0.0431008441102619
1,3.16227766016838e-05,0.959461777815154,0.949586776859504,0.0431008441102619
1,0.0001,0.959461777815154,0.949586776859504,0.0431008441102619
1,0.000316227766016838,0.959461777815154,0.949586776859504,0.0431008441102619
1,0.001,0.9593672151674,0.951101928374656,0.0444265591740485
1,0.00316227766016838,0.959558209289939,0.944903581267218,0.0451130842553254
1,0.01,0.962827441856119,0.93732782369146,0.0395942622866327
1,0.0316227766016838,0.968024743269887,0.937878787878788,0.0285074056397376
1,0.1,0.972030854334277,0.919834710743802,0.030517025516755
1,0.316227766016838,0.998174342873695,0.882782369146006,0.0382920110192838
1,1,1,0.78236914600551,0.06047130021457
1,3.16227766016838,1,0.721074380165289,0.0785123966942149
1,10,1,0.57396694214876,0.0419666251460466
3.16227766016838,1e-05,0.959461777815154,0.949586776859504,0.0431008441102619
3.16227766016838,3.16227766016838e-05,0.959461777815154,0.949586776859504,0.0431008441102619
3.16227766016838,0.0001,0.959461777815154,0.949586776859504,0.0431008441102619
3.16227766016838,0.000316227766016838,0.959461777815154,0.949586776859504,0.0431008441102619
3.16227766016838,0.001,0.95945542380325,0.943250688705234,0.0476842713911232
3.16227766016838,0.00316227766016838,0.96234621889571,0.938980716253443,0.0386107588880375
3.16227766016838,0.01,0.962516842803614,0.928236914600551,0.033557405470882
3.16227766016838,0.0316227766016838,0.968325717863183,0.917355371900826,0.0387613193253704
3.16227766016838,0.1,0.98114269428793,0.897658402203857,0.0339570094888242
3.16227766016838,0.316227766016838,1,0.860743801652893,0.0429045120307037
3.16227766016838,1,1,0.769972451790634,0.0609758938816291
3.16227766016838,3.16227766016838,1,0.721074380165289,0.0785123966942149
