metric,full_precision_value,display_value
best_C,0.01,0.01
best_gamma,0.001,1.00e-03
full_grid_mean_train_AUROC,0.9593672151674,0.96
full_grid_mean_validation_AUROC,0.951101928374656,0.95
full_grid_train_validation_gap,0.00826528679274452,0.01
number_of_support_vectors,113,113
number_with_positive_slack,111,111
sum_slack,111.679013069758,111.68
rkhs_norm_squared,0.00320986932468663,0.00
primal_objective,1.11839506535992,1.12
dual_objective,1.11839506533766,1.12
primal_dual_gap,2.22628582235984e-11,2.23e-11
dual_equality_residual,2.77555756156289e-17,2.78e-17
margin_complementarity_residual,1.11022302462516e-18,1.11e-18
slack_complementarity_residual,1.29868072310971e-11,1.30e-11
mean_nested_outer_AUROC,0.942011019283747,0.94
std_nested_outer_AUROC,0.0437325112245125,0.04
rbf_minus_linear_mean_outer_AUROC,-0.003168044077135,-3.17e-03
maximum_grid_train_validation_gap,0.455027548209366,0.46
maximum_gap_C,0.01,0.01
maximum_gap_gamma,10,10.00
selected_gamma_at_lower_grid_boundary,1,Yes
