model,C_full_precision,gamma_full_precision,mean_train_AUROC,mean_validation_AUROC,train_validation_gap,is_pareto_optimal,C_display_2dp,gamma_display_2dp,validation_AUROC_display_2dp,gap_display_2dp
Linear soft margin,0.01,,0.959253497042581,0.945179063360882,0.014074433681699,True,0.01,--,0.95,0.01
Linear soft margin,0.0316227766016838,,0.959742569076519,0.940358126721763,0.019384442354756,False,0.03,--,0.94,0.02
Linear soft margin,0.1,,0.958184527981013,0.921625344352617,0.0365591836283959,False,0.10,--,0.92,0.04
Linear soft margin,0.316227766016838,,0.957892056550706,0.908815426997245,0.0490766295534609,False,0.32,--,0.91,0.05
Linear soft margin,1,,0.959150711555892,0.910606060606061,0.0485446509498311,False,1.00,--,0.91,0.05
Linear soft margin,3.16227766016838,,0.958191162316972,0.91404958677686,0.044141575540112,False,3.16,--,0.91,0.04
Linear soft margin,10,,0.958964015735524,0.912534435261708,0.0464295804738161,False,10.00,--,0.91,0.05
Linear soft margin,31.6227766016838,,0.960115773834553,0.903994490358127,0.0561212834764261,False,31.62,--,0.90,0.06
Linear soft margin,100,,0.960115773834553,0.903994490358127,0.0561212834764261,False,100.00,--,0.90,0.06
RBF kernel,0.01,0.001,0.9593672151674,0.951101928374656,0.00826528679274452,False,0.01,1.00e-03,0.95,0.01
RBF kernel,0.01,0.00316227766016838,0.959365159457666,0.951101928374656,0.00826323108301086,True,0.01,3.16e-03,0.95,0.01
RBF kernel,0.01,0.01,0.960134088339454,0.949724517906336,0.0104095704331179,False,0.01,0.01,0.95,0.01
RBF kernel,0.01,0.0316227766016838,0.960623627580149,0.946831955922865,0.0137916716572842,False,0.01,0.03,0.95,0.01
RBF kernel,0.01,0.1,0.966119380670722,0.934573002754821,0.0315463779159012,False,0.01,0.10,0.93,0.03
RBF kernel,0.01,0.316227766016838,0.984349134265878,0.88870523415978,0.0956439001060984,False,0.01,0.32,0.89,0.10
RBF kernel,0.01,1,1,0.78236914600551,0.21763085399449,False,0.01,1.00,0.78,0.22
RBF kernel,0.01,3.16227766016838,1,0.720316804407714,0.279683195592286,False,0.01,3.16,0.72,0.28
RBF kernel,0.01,10,1,0.544972451790634,0.455027548209366,False,0.01,10.00,0.54,0.46
RBF kernel,0.0316227766016838,0.001,0.9593672151674,0.951101928374656,0.00826528679274452,False,0.03,1.00e-03,0.95,0.01
RBF kernel,0.0316227766016838,0.00316227766016838,0.959365159457666,0.951101928374656,0.00826323108301086,True,0.03,3.16e-03,0.95,0.01
RBF kernel,0.0316227766016838,0.01,0.960134088339454,0.949724517906336,0.0104095704331179,False,0.03,0.01,0.95,0.01
RBF kernel,0.0316227766016838,0.0316227766016838,0.960623627580149,0.946831955922865,0.0137916716572842,False,0.03,0.03,0.95,0.01
RBF kernel,0.0316227766016838,0.1,0.966119380670722,0.934573002754821,0.0315463779159012,False,0.03,0.10,0.93,0.03
RBF kernel,0.0316227766016838,0.316227766016838,0.984349134265878,0.88870523415978,0.0956439001060984,False,0.03,0.32,0.89,0.10
RBF kernel,0.0316227766016838,1,1,0.78236914600551,0.21763085399449,False,0.03,1.00,0.78,0.22
